"ID,""Dir"",""Length"",""JERARQUIA"",""DESIGNACIÓN"",""AB_CAP_CARRIL"",""BA_CAP_CARRIL"",""AB_FACTOR_REGULACIÓN"",""BA_FACTOR_REGULACIÓN"",""AB_V0"",""BA_V0"",""AB_CARRILES"",""BA_CARRILES"",""AB_ALPHA"",""BA_ALPHA"",""AB_BETA"",""BA_BETA"",""AB_CAPACIDAD"",""BA_CAPACIDAD"",""AB_T0"",""BA_T0"",""ID"",""Dir"",""Length"",""JERARQUIA"",""DESIGNACIÓN"",""AB_CAP_CARRIL"",""BA_CAP_CARRIL"",""AB_FACTOR_REGULACIÓN"",""BA_FACTOR_REGULACIÓN"",""AB_V0"",""BA_V0"",""AB_CARRILES"",""BA_CARRILES"",""AB_ALPHA"",""BA_ALPHA"",""AB_BETA"",""BA_BETA"",""AB_CAPACIDAD"",""BA_CAPACIDAD"",""AB_T0"",""BA_T0"",""ID1"",""AB_Flow"",""BA_Flow"",""Tot_Flow"",""AB_Time"",""BA_Time"",""Max_Time"",""AB_VOC"",""BA_VOC"",""Max_VOC"",""AB_VKmT"",""BA_VKmT"",""Tot_VKmT"",""AB_VHT"",""BA_VHT"",""Tot_VHT"",""AB_Speed"",""BA_Speed"",""AB_VDF"",""BA_VDF"",""Max_VDF"""
"30,1,0.282401,10,""Calle Miguel Cid + San Vicente"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.564801,,30,1,0.282401,10,""Calle Miguel Cid + San Vicente"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.564801,,30,554.1029,,554.1029,1.47295,,1.47295,0.791576,,0.791576,156.4790,,156.4790,13.6028,,13.6028,11.5035,,1.47295,,1.47295"
"31,1,0.373418,10,""Calle Santa Ana"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.746835,,31,1,0.373418,10,""Calle Santa Ana"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.746835,,31,606.0000,,606.0000,2.1645,,2.1645,0.865714,,0.865714,226.2911,,226.2911,21.8615,,21.8615,10.3511,,2.1645,,2.1645"
"32,1,0.198366,10,""Calle Sol + Dª Maria Coronel"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.396733,,32,1,0.198366,10,""Calle Sol + Dª Maria Coronel"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.396733,,32,0.0000,,0.0000,0.396733,,0.396733,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.396733,,0.396733"
"33,1,0.113519,10,""Calle Feria + Castellar"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.227038,,33,1,0.113519,10,""Calle Feria + Castellar"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.227038,,33,331.0070,,331.0070,0.367488,,0.367488,0.472867,,0.472867,37.5755,,37.5755,2.02735,,2.02735,18.5343,,0.367488,,0.367488"
"34,1,0.328422,10,""Calle Gerona"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.656844,,34,1,0.328422,10,""Calle Gerona"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.656844,,34,331.0070,,331.0070,1.06318,,1.06318,0.472867,,0.472867,108.7100,,108.7100,5.86534,,5.86534,18.5343,,1.06318,,1.06318"
"35,0,0.0599339,10,""Calle Almirante Apodaca"",1400.00,1400.00,0.5,0.5,30,30,1,1,2.48003,2.48,1.854,1.854,700,700,0.119868,0.119868,35,0,0.0599339,10,""Calle Almirante Apodaca"",1400.00,1400.00,0.5,0.5,30,30,1,1,2.48003,2.48,1.854,1.854,700,700,0.119868,0.119868,35,282.8227,270.3281,553.1509,0.175261,0.170809,0.175261,0.404032,0.386183,0.404032,16.9507,16.2018,33.1525,0.826128,0.769574,1.5957,20.5182,21.0530,0.175261,0.170809,0.175261"
"36,1,0.455268,10,""Calle Santiago"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.910536,,36,1,0.455268,10,""Calle Santiago"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.910536,,36,359.0995,,359.0995,1.56564,,1.56564,0.512999,,0.512999,163.4866,,163.4866,9.37035,,9.37035,17.4472,,1.56564,,1.56564"
"37,1,0.474729,10,""Calle Aguilas"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.949458,,37,1,0.474729,10,""Calle Aguilas"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.949458,,37,255.9810,,255.9810,1.31416,,1.31416,0.365687,,0.365687,121.5217,,121.5217,5.60667,,5.60667,21.6745,,1.31416,,1.31416"
"38,1,0.639357,10,""Calle San José"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.27871,,38,1,0.639357,10,""Calle San José"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.27871,,38,0.0000,,0.0000,1.27871,,1.27871,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,1.27871,,1.27871"
"39,0,0.172353,10,""Calle Almirante Apodaca"",1400.00,1400.00,0.5,0.5,30,30,1,1,2.48003,2.48,1.854,1.854,700,700,0.344705,0.344705,39,0,0.172353,10,""Calle Almirante Apodaca"",1400.00,1400.00,0.5,0.5,30,30,1,1,2.48003,2.48,1.854,1.854,700,700,0.344705,0.344705,39,702.6011,0.0000,702.6011,1.20548,0.344705,1.20548,1.00372,0.0000,1.00372,121.0951,0.0000,121.0951,14.1162,0.0000,14.1162,8.57843,30.0000,1.20548,0.344705,1.20548"
